_id,DatGeracaoConjuntoDados,DscREH,SigAgente,NumCNPJDistribuidora,DatInicioVigencia,DatFimVigencia,DscBaseTarifaria,DscSubGrupo,DscModalidadeTarifaria,DscClasse,DscSubClasse,DscDetalhe,NomPostoTarifario,DscUnidadeTerciaria,SigAgenteAcessante,VlrTUSD,VlrTE,rank
67736,2022-06-01,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.014, DE 15 DE MARÇO DE 2022",LIGHT,60444437000146,2022-03-15,2023-03-14,Base Econômica,B1,Convencional,Residencial,Residencial,Não se aplica,Não se aplica,R$/MWh,Não se aplica,463.33,346.57,0.057308756
70927,2022-06-01,"RESOLUÇÃO HOMOLOGATÓRIA Nº 3.015, DE 15 DE MARÇO DE 2022",ENEL RJ,33050071000158,2022-03-15,2023-03-14,Base Econômica,B1,Convencional,Residencial,Residencial,Não se aplica,Não se aplica,R$/MWh,Não se aplica,523.52,307.44,0.057308756
