ID Resultado Vendedor;Ano do Leilão;Tipo Leilão;Leilão;Denominação do Leilão;Edital do Leilão ANEEL;Sigla Vendedor;CNPJ;Produto;CEG;Nome da Usina;Situação;UF;Fonte;Rio/Combustível;Submercado;Investimento na Data do Leilão (R$);Investimento Atualizado (R$.mi);Potência (MW);Potência Injetada (MW);Disponibilidade de Potência (MW);Potência C.C (MWp);Garantia Física (MW médio);Preço de Venda na Data do Leilão (R$/MWh);Unidade de Preço;ICE (R$/MWh);CVU (R$/MWh);Montante Financeiro Data Leilão (R$);Preço de Venda Atualizado (R$/MWh);Montante Financeiro Atualizado (R$);Início Suprimento;Fim Suprimento;Entrega Escalonada;IPCA na Data do leilão;IPCA Abr/2022
2013;2021;LEN;35ºLEN;Leilão de Energia Nova;008/2021;UTE Uberaba 2;07.674.341/0001-91;DISTE2026-20;UTE.AI.MG.044551-7.01;UBERABA 2;Sem Pendências;MG;Biomassa;Bagaço de Cana de Açúcar;SE;80.000.000,00;86.900.281,65 ;35,000;;;0,000;19,100;273,00;R$/MWh;0,00;0,00;320.677.812,00;296,55;348.337.402,28;01/01/2026;31/12/2045;Não;5.876,05;6.382,88
2014;2021;LEN;35ºLEN;Leilão de Energia Nova;008/2021;URE BARUERI;14.641.895/0001-58;DISRS2026-20;UTE.RU.SP.031070-0.01;BARUERI;Sem Pendências;SP;Resíduo Sólido Urbano;Resíduo Sólido Urbano;SE;520.000.000,00;564.851.830,74 ;20,000;;;0,000;16,000;549,35;R$/MWh;0,00;0,00;1.155.744.504,00;596,73;1.255.431.536,44;01/01/2026;31/12/2045;Não;5.876,05;6.382,88
2015;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;FENIX;35.367.818/0002-02;QTDE2022-03;UTE.FL.MT.029649-0.02;"UNIDADE DE GERAÇAÕ DE 
ENERGIA ELETRICA FENIX";Sem Pendências;MT;Biomassa;Cavaco de Madeira;SE;150.720.000,00;159.844.824,32 ;32,500;;;0,000;20,000;343,00;R$/MWh;0,00;0,00;220.782.240,00;363,77;234.148.741,81;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2016;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;ROVEMA;07.290.082/0001-03;QTDE2022-03;UFV.RS.RO.056129-0.01;BURITIS;Sem Pendências;RO;Solar Fotovoltaica;Radiação Solar Global;SE;37.646.400,00;39.925.571,88 ;5,200;;;6,055;1,100;343,00;R$/MWh;0,00;0,00;11.039.112,00;363,77;11.707.437,09;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2017;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;ROVEMA;07.290.082/0001-03;QTDE2022-03;UFV.RS.RO.056130-4.01;MACHADINHO;Sem Pendências;RO;Solar Fotovoltaica;Radiação Solar Global;SE;37.646.400,00;39.925.571,88 ;5,300;;;6,900;1,300;347,00;R$/MWh;0,00;0,00;13.401.417,60;368,01;14.212.760,36;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2018;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;BBOG;22.881.417/0001-43;DISP2022-03;UTE.GN.PR.037896-8.01;BARRA BONITA I;Sem Pendências;PR;Gás Natural;Gás Natural;S;31.055.000,00;32.935.118,23 ;9,389;;;0,000;4,100;1.594,00;R$/MWh;0,00;0,00;200.075.054,40;1.690,50;212.187.910,83;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2019;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;EDLUX;43.750.514/0001-77;DISP2022-03;UTE.GN.MS.055592-4.01;EDLUX X;Sem Pendências;MS;Gás Natural;Gás Natural;SE;54.100.000,00;57.375.298,54 ;56,000;;;0,000;53,200;1.594,84;R$/MWh;0,00;0,00;2.730.667.185,79;1.691,39;2.895.986.044,20;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2020;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;EPP;23.398.090/0001-16;DISP2022-03;UTE.GN.MS.055739-0.01;EPP II;Sem Pendências;MS;Gás Natural;Gás Natural;SE;465.890.080,00;494.095.793,45 ;112,902;;;0,000;106,900;1.602,01;R$/MWh;0,00;0,00;5.511.666.703,90;1.699,00;5.845.351.618,75;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2021;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;EPP;23.398.090/0001-16;DISP2022-03;UTE.GN.RJ.055740-4.01;EPP IV;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;255.884.270,00;271.375.903,55 ;62,010;;;0,000;58,700;1.600,01;R$/MWh;0,00;0,00;3.022.740.172,01;1.696,88;3.205.741.585,39;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2022;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;EPP 2;23.398.090/0001-16;DISP2022-03;UTE.GN.RJ.055856-7.01;Rio de Janeiro I;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;465.890.080,00;494.095.793,45 ;112,902;;;0,000;106,900;1.601,01;R$/MWh;0,00;0,00;5.508.226.234,30;1.697,94;5.841.702.857,74;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2023;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;KPS 1;43.637.457/0001-14;DISP2022-03;UTE.GN.RJ.055914-8.01;Karkey 013;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;1.795.396.180,00;1.904.092.270,25 ;255,000;;;0,000;70,200;1.598,90;R$/MWh;0,00;0,00;3.612.421.631,52;1.695,70;3.831.123.281,91;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2024;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;KPS 2;43.637.457/0001-14;DISP2022-03;UTE.GN.RJ.055917-2.01;Karkey 019;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;807.232.450,00;856.103.563,91 ;115,000;;;0,000;67,200;1.599,60;R$/MWh;0,00;0,00;3.459.558.574,08;1.696,44;3.669.005.656,10;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2025;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;MP 1;28.287.882/0001-37;DISP2022-03;UTE.GN.SP.055998-9.01;MP Paulinia;Sem Pendências;SP;Gás Natural;Gás Natural;SE;64.190.000,00;68.076.162,90 ;15,950;;;0,000;15,700;1.601,80;R$/MWh;0,00;0,00;809.371.599,84;1.698,78;858.372.221,23;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2026;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;PORSUD I;43.637.457/0001-14;DISP2022-03;UTE.GN.RJ.055706-4.01;PORSUD I;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;304.908.000,00;323.367.606,77 ;115,000;;;0,000;37,100;1.599,50;R$/MWh;0,00;0,00;1.909.845.226,80;1.696,34;2.025.470.241,18;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2027;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;PORSUD II;43.637.457/0001-14;DISP2022-03;UTE.GN.RJ.055707-2.01;PORSUD II;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;198.853.000,00;210.891.871,35 ;75,000;;;0,000;24,500;1.601,00;R$/MWh;0,00;0,00;1.262.401.308,00;1.697,93;1.338.829.055,83;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2028;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;ROVEMA;07.290.082/0001-03;DISP2022-03;UTE.GN.SC.056139-8.01;RE TG 100 02 01;Sem Pendências;SC;Gás Natural;Gás Natural;S;42.590.000,00;45.168.465,15 ;100,200;;;0,000;68,700;1.599,95;R$/MWh;0,00;0,00;3.537.554.727,96;1.696,81;3.751.723.819,02;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2029;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;TEVISA;09.043.782/0001-10;DISP2022-03;UTE.GN.ES.056350-1.01;VIANA 1;Sem Pendências;ES;Gás Natural;Gás Natural;SE;147.332.000,00;156.251.709,50 ;37,480;;;0,000;36,000;1.594,00;R$/MWh;0,00;0,00;1.795.545.360,00;1.690,50;1.904.250.481,84;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2030;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;UTE POVOAÇÃO 1;43.174.526/0001-09;DISP2022-03;UTE.GN.ES.056045-6.01;POVOAÇÃO 1;Sem Pendências;ES;Gás Natural;Gás Natural;SE;269.571.000,00;285.891.249,58 ;74,960;;;0,000;72,000;1.601,95;R$/MWh;0,00;0,00;3.660.558.274,80;1.698,93;3.882.174.192,79;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2031;2021;PCS;01ºPCS;Procedimento Competitivo Simplificado;001/2021;UTE-LORM;10.472.905/0001-18;DISP2022-03;UTE.GN.ES.030054-3.01;"LUIZ OSCAR 
RODRIGUES DE MELO";Sem Pendências;ES;Gás Natural;Gás Natural;SE;132.023.000,00;140.015.878,72 ;36,000;;;0,000;34,600;1.594,00;R$/MWh;0,00;0,00;1.775.024.841,60;1.690,50;1.882.487.619,19;01/05/2022;31/12/2025;Não;6.018,51;6.382,88
2032;2021;LEE;26ºLEE;Leilão de Energia Existente;009/2021;ALUPAR;08.364.948/0001-38;QTDE2022-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;210,00;R$/MWh;0,00;0,00;69.904.800,00;222,71;74.136.945,83;01/01/2022;31/12/2023;Não;6.018,51;6.382,88
2033;2021;LEE;26ºLEE;Leilão de Energia Existente;009/2021;BRASIL COM;13.145.928/0001-06;QTDE2022-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;209,00;R$/MWh;0,00;0,00;73.233.600,00;221,65;77.667.276,58;01/01/2022;31/12/2023;Não;6.018,51;6.382,88
2034;2021;LEE;26ºLEE;Leilão de Energia Existente;009/2021;COPEL COM;19.125.927/0001-86;QTDE2022-02;-;-;Sem Pendências;-;-;-;NE;0,00;0,00 ;0,000;;;0,000;0,000;205,80;R$/MWh;0,00;0,00;25.239.312,00;218,26;26.767.339,39;01/01/2022;31/12/2023;Não;6.018,51;6.382,88
2035;2021;LEE;26ºLEE;Leilão de Energia Existente;009/2021;SAFIRA COM;09.495.582/0001-07;QTDE2022-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;210,00;R$/MWh;0,00;0,00;73.584.000,00;222,71;78.038.890,34;01/01/2022;31/12/2023;Não;6.018,51;6.382,88
2036;2021;LEE;27ºLEE;Leilão de Energia Existente;010/2021;ELETRONORTE;00.357.038/0001-16;QTDE2023-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;200,00;R$/MWh;0,00;0,00;178.948.800,00;212,11;189.782.639,98;01/01/2023;31/12/2024;Não;6.018,51;6.382,88
2037;2021;LEE;27ºLEE;Leilão de Energia Existente;010/2021;KROMA;10.202.852/0001-15;QTDE2023-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;199,88;R$/MWh;0,00;0,00;35.066.947,20;211,98;37.189.954,98;01/01/2023;31/12/2024;Não;6.018,51;6.382,88
2038;2021;LEE;27ºLEE;Leilão de Energia Existente;010/2021;KROMA;10.202.852/0001-15;QTDE2023-02;-;-;Sem Pendências;-;-;-;NE;0,00;0,00 ;0,000;;;0,000;0,000;199,88;R$/MWh;0,00;0,00;17.533.473,60;211,98;18.594.977,49;01/01/2023;31/12/2024;Não;6.018,51;6.382,88
2039;2021;LEE;27ºLEE;Leilão de Energia Existente;010/2021;MAXIMA ENERGIA;12.630.054/0001-10;QTDE2023-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;199,90;R$/MWh;0,00;0,00;10.521.136,80;212,00;11.158.102,86;01/01/2023;31/12/2024;Não;6.018,51;6.382,88
2040;2021;LEE;27ºLEE;Leilão de Energia Existente;010/2021;VIVAZ ENERGIA;26.537.119/0001-91;QTDE2023-02;-;-;Sem Pendências;-;-;-;N;0,00;0,00 ;0,000;;;0,000;0,000;199,98;R$/MWh;0,00;0,00;7.016.898,24;212,09;7.441.712,22;01/01/2023;31/12/2024;Não;6.018,51;6.382,88
2041;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;Azulão;30.185.130/0001-07;POTE2026-15;UTE.GN.AM.035071-0.01;AZULÃO;Sem Pendências;AM;Gás Natural;Gás Natural;N;915.400.240,00;961.683.345,25 ;295,429;284,303;267,308;0,000;26,500;878.000,00;R$/MW.ano;0,00;555,75;3.520.446.360,00;922.392,13;3.698.441.932,08;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2042;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;CEC;10.508.162/0001-99;POTE2026-15;UTE.PE.BA.029653-8.01;GLOBAL I;Sem Pendências;BA;Óleo Combustível;Óleo Combustível B1;NE;20.000.000,00;21.011.210,25 ;136,400;131,744;126,527;0,000;4,700;879.227,22;R$/MW.ano;0,00;1.275,59;1.668.689.736,97;923.681,40;1.753.059.545,22;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2043;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;CEC;10.508.162/0001-99;POTE2026-15;UTE.PE.BA.029639-2.01;GLOBAL II;Sem Pendências;BA;Óleo Combustível;Óleo Combustível B1;NE;20.000.000,00;21.011.210,25 ;136,400;131,546;126,337;0,000;4,700;879.227,23;R$/MW.ano;0,00;1.275,59;1.666.183.958,35;923.681,41;1.750.427.073,15;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2044;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;CEP;09.439.128/0001-20;POTE2026-15;UTE.PE.RN.028655-9.01;POTIGUAR;Sem Pendências;RN;Óleo Combustível;Óleo Diesel;NE;15.000.000,00;15.758.407,69 ;48,140;47,660;45,539;0,000;1,100;873.761,39;R$/MW.ano;0,00;2.050,45;596.853.299,09;917.939,21;627.030.507,76;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2045;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;CEP;09.439.128/0001-20;POTE2026-15;UTE.PE.RN.029556-6.01;POTIGUAR III;Sem Pendências;RN;Óleo Combustível;Óleo Diesel;NE;15.000.000,00;15.758.407,69 ;51,460;50,950;48,513;0,000;1,200;873.761,40;R$/MW.ano;0,00;2.050,45;635.831.801,97;917.939,22;667.979.783,72;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2046;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;DELTA GERAÇÃO PIE;13.787.764/0001-10;POTE2026-15;UTE.GN.MS.027075-0.01;WILLIAM ARJONA;Sem Pendências;MS;Gás Natural;Gás Natural;SE;0,00;0,00 ;177,116;166,300;148,301;0,000;11,400;877.700,00;R$/MW.ano;0,00;599,83;1.952.456.815,50;922.076,96;2.051.174.032,66;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2047;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;Geramar;09.110.880/0001-23;POTE2026-15;UTE.PE.MA.029705-4.01;GERAMAR I;Sem Pendências;MA;Óleo Combustível;Óleo Combustível B1;N;0,00;0,00 ;165,870;162,870;145,539;0,000;6,300;872.388,41;R$/MW.ano;0,00;1.050,78;1.904.498.052,04;916.496,82;2.000.790.449,55;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2048;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;Geramar;09.110.880/0001-23;POTE2026-15;UTE.PE.MA.029668-6.01;GERAMAR II;Sem Pendências;MA;Óleo Combustível;Óleo Combustível B1;N;0,00;0,00 ;165,870;162,870;145,539;0,000;6,300;872.388,41;R$/MW.ano;0,00;1.050,78;1.904.498.052,04;916.496,82;2.000.790.449,55;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2049;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;LGSA;10.472.905/0001-18;POTE2026-15;UTE.GN.ES.030054-3.01;LUIZ OSCAR RODRIGUES DE MELO;Sem Pendências;ES;Gás Natural;Gás Natural;SE;105.800.000,00;111.149.302,22 ;204,000;198,798;190,867;0,000;14,000;878.152,17;R$/MW.ano;0,00;600,00;2.514.154.053,47;922.551,99;2.641.270.970,84;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2050;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;Parnaíba II;14.578.002/0001-77;POTE2026-15;UTE.GN.MA.031193-6.01;PARNAÍBA IV;Sem Pendências;MA;Gás Natural;Gás Natural;N;0,00;0,00 ;56,277;55,140;39,331;0,000;4,900;881.000,00;R$/MW.ano;0,00;544,00;519.759.165,00;925.543,81;546.038.454,74;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2051;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;PETROBRAS;33.000.167/0001-01;POTE2026-15;UTE.GN.MG.001096-0.01;IBIRITÉ;Sem Pendências;MG;Gás Natural;Gás Natural;SE;0,00;0,00 ;226,000;220,413;197,870;0,000;14,500;878.152,17;R$/MW.ano;0,00;600,00;2.606.399.548,17;922.551,99;2.738.180.445,02;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2052;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;PETROBRAS;33.000.167/0001-01;POTE2026-15;UTE.GN.RJ.027888-2.01;TERMORIO;Sem Pendências;RJ;Gás Natural;Gás Natural;SE;0,00;0,00 ;1.058,300;994,081;922,351;0,000;68,100;876.685,12;R$/MW.ano;0,00;600,00;12.129.170.956,76;921.010,77;12.742.428.056,15;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2053;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;PORTOCEM;27.241.084/0001-01;POTE2026-15;UTE.GN.CE.037748-1.01;PORTOCÉM I;Sem Pendências;CE;Gás Natural;Gás Natural;NE;4.225.156.350,00;4.438.782.420,32 ;1.571,888;1.535,057;1.473,690;0,000;203,500;843.974,84;R$/MW.ano;0,00;490,37;18.656.359.229,39;886.646,64;19.599.634.312,83;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2054;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;Termopernambuco;03.795.050/0001-09;POTE2026-15;UTE.GN.PE.028031-3.01;TERMOPERNAMBUCO;Sem Pendências;PE;Gás Natural;Gás Natural;NE;50.584.000,00;53.141.552,96 ;550,000;17,790;498,173;0,000;38,800;487.412,70;R$/MW.ano;0,00;599,12;3.642.237.704,96;512.056,54;3.826.391.109,86;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2055;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;TEVISA;09.043.782/0002-00;POTE2026-15;UTE.PE.ES.029664-3.01;VIANA;Sem Pendências;ES;Óleo Combustível;Óleo Combustível B1;SE;93.500.000,00;98.227.407,92 ;174,600;171,596;166,439;0,000;0,001;878.152,17;R$/MW.ano;0,00;1.155,69;2.192.381.535,34;922.551,99;2.303.229.469,29;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2056;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;PORTOCEM;11.371.025/0001-18;POTE2026-15;UTE.GN.SC.035310-8.01;TROMBUDO;Sem Pendências;SC;Gás Natural;Gás Natural;S;17.764.900,00;18.663.102,45 ;28,023;27,500;24,959;0,000;2,100;875.346,10;R$/MW.ano;0,00;596,90;327.716.449,65;919.604,05;344.285.961,29;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
2057;2021;LRC;01ºLRC;Leilão de Reserva de Capacidade;011/2021;UTLP;27.171.295/0001-15;POTE2026-15;UTE.FL.SP.040580-9.01;CIDADE DO LIVRO;Sem Pendências;SP;Biomassa;Bagaço de Cana de Açúcar;SE;502.299.200,00;527.695.704,96 ;80,000;72,400;65,601;0,000;55,700;877.321,16;R$/MW.ano;0,00;210,00;863.297.181,26;921.678,97;906.945.929,16;01/07/2026;30/06/2041;Não;6.075,69;6.382,88
